principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6
-7.233747045741239,0.3804131709908002,-0.2870034901368177,0.1383801750511763,0.1153487289893337,0.11940091613592943
-1.2845226890433723,-0.08581120023330145,-0.1585977101057824,-0.01252844250351921,0.05311589280677953,0.0005579177138963036
1.0683296355462237,0.6266506187538088,-0.012396465077295173,-0.03376697422018909,0.013709609704100064,-0.09048454816039811
-7.835529476197165,-0.14510496950702503,0.002456023348314526,-0.10963420146810347,-0.03726252560686652,-0.0269365051192315
14.560914177173627,-0.16991722718246594,0.13543114504536882,-0.1675106050485251,-0.006026846728491602,0.02238513227666952
6.20276992102102,-0.1625301413723418,-0.050196944646995645,0.0369414592256697,-0.03375418666127305,-0.04767766352607423
0.8915119578748568,-0.13611817634609472,-0.11547580952698557,-0.048945063842127524,-0.003671813274376632,-0.03674862373409678
-25.665158836130217,-0.20520902197031612,0.1618101655778714,0.054303942624925064,-0.10593374179872941,0.06788112032180899
-12.234885571134331,-0.16243578383149754,-0.06707670791321668,0.003669179292083204,0.006374029344340091,-0.0528845618541069
-7.4303013957440625,0.6328230562276559,0.21350804374693155,0.010339137936559226,-0.0889092887103692,0.0347077016266717
-1.0810304360538285,-0.16209168372423569,0.38116413789175035,0.15938905119399643,0.2193691867972859,-0.04073362340665504
6.778954112557615,-0.1582751092449289,-0.05575635014099468,0.19886698208237133,-0.09178996841557391,-0.04788518418896049
6.778954112557615,-0.1582751092449289,-0.05575635014099468,0.19886698208237133,-0.09178996841557391,-0.04788518418896049
3.3940585324852064,-0.13612281619480637,-0.10225291077253029,-0.11118020927332699,0.0443087367278053,-0.040888019120326295
-20.47448305436988,-0.16493295321281543,0.004263618940595878,-0.10404533533408372,0.04686645432661785,0.05292193096426818
9.606392513753457,0.5502679897999184,0.03255344311068907,-0.07848133224216122,-0.004609339539831033,-0.043879430090139115
9.51290134215592,0.01209562512805343,0.05176543708977818,0.07524070051569735,-0.05981138080015695,0.08695949887573716
43.433805224204335,-0.15280574222527485,0.05113349388930551,-0.062452358445798606,0.000982036929689482,0.08395250433889566
-1.2845226890433723,-0.08581120023330145,-0.1585977101057824,-0.01252844250351921,0.05311589280677953,0.0005579177138963036
-17.704410335872126,-0.11680932637690233,0.02902493992678872,-0.13492464512349508,-0.02963150848148971,0.006678703421176511
